experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	auto 	 T1 	 1.0 	 right 	17 	N 	Z 	0.0 	-10.0 	NaN 	NaN 	NaN 	NaN 	NaN 	1
main	1 	auto 	 T1T2 	 1.0 	 left 	17 	X 	Z 	0.0 	-16.0 	17 	E 	Z 	0.0 	-8.0 	40
main	2 	auto 	 T1T2 	 1.0 	 left 	7 	O 	Z 	0.0 	3.0 	7 	U 	Z 	0.0 	6.0 	0
main	3 	auto 	 T1T2 	 1.0 	 left 	9 	S 	Z 	0.0 	2.0 	9 	T 	Z 	0.0 	-2.0 	0
main	4 	auto 	 T1T2 	 1.0 	 right 	7 	P 	Z 	0.0 	18.0 	7 	G 	Z 	0.0 	11.0 	0
main	5 	auto 	 T1 	 1.0 	 right 	17 	Z 	Z 	1.0 	0.0 	NaN 	NaN 	NaN 	NaN 	NaN 	2
main	6 	auto 	 T1T2 	 1.0 	 right 	7 	O 	Z 	0.0 	1.0 	7 	F 	Z 	0.0 	2.0 	0
main	7 	auto 	 T1T2 	 1.0 	 right 	17 	G 	Z 	0.0 	-12.0 	17 	I 	Z 	0.0 	4.0 	0
main	8 	auto 	 T1 	 1.0 	 right 	9 	E 	Z 	0.0 	11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	9 	auto 	 T1T2 	 1.0 	 left 	9 	I 	Z 	0.0 	12.0 	9 	M 	Z 	0.0 	9.0 	0
main	10 	auto 	 T1T2 	 1.0 	 left 	11 	E 	Z 	0.0 	3.0 	11 	N 	Z 	0.0 	-1.0 	1
main	11 	auto 	 T1 	 1.0 	 right 	7 	P 	Z 	0.0 	2.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	12 	auto 	 T1T2 	 1.0 	 left 	13 	U 	Z 	0.0 	-13.0 	13 	Y 	Z 	0.0 	-11.0 	0
main	13 	auto 	 T1 	 1.0 	 left 	9 	Y 	Z 	0.0 	3.0 	NaN 	NaN 	NaN 	NaN 	NaN 	1
main	14 	auto 	 T1T2 	 1.0 	 left 	17 	X 	Z 	0.0 	-6.0 	17 	E 	Z 	0.0 	1.0 	0
main	15 	auto 	 T1 	 1.0 	 right 	15 	E 	Z 	0.0 	-11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	16 	auto 	 T1T2 	 1.0 	 right 	9 	T 	Z 	0.0 	15.0 	9 	H 	Z 	0.0 	-2.0 	2
main	17 	auto 	 T1 	 1.0 	 left 	15 	E 	Z 	0.0 	4.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	18 	auto 	 T1 	 1.0 	 right 	11 	A 	Z 	0.0 	-5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	19 	auto 	 T1 	 1.0 	 left 	13 	O 	Z 	0.0 	9.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	20 	auto 	 T1 	 1.0 	 right 	13 	Y 	Z 	0.0 	11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	21 	auto 	 T1T2 	 1.0 	 right 	13 	V 	Z 	0.0 	-11.0 	13 	A 	Z 	0.0 	11.0 	0
main	22 	auto 	 T1 	 1.0 	 left 	17 	R 	Z 	0.0 	3.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	23 	auto 	 T1T2 	 1.0 	 right 	7 	G 	Z 	0.0 	-2.0 	7 	Y 	Z 	0.0 	3.0 	0
main	24 	auto 	 T1T2 	 1.0 	 left 	13 	N 	Z 	0.0 	-3.0 	13 	C 	Z 	0.0 	-9.0 	0
main	25 	auto 	 T1T2 	 1.0 	 left 	9 	J 	Z 	0.0 	14.0 	9 	E 	Z 	0.0 	7.0 	0
main	26 	auto 	 T1T2 	 1.0 	 right 	11 	E 	Z 	0.0 	-1.0 	11 	N 	Z 	0.0 	3.0 	0
main	27 	auto 	 T1T2 	 1.0 	 left 	17 	N 	Z 	0.0 	-2.0 	17 	R 	Z 	0.0 	-12.0 	2
main	28 	auto 	 T1T2 	 1.0 	 left 	17 	T 	Z 	0.0 	-16.0 	17 	W 	Z 	0.0 	-13.0 	0
main	29 	auto 	 T1 	 1.0 	 right 	11 	B 	Z 	0.0 	4.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	30 	auto 	 T1 	 1.0 	 right 	9 	Z 	Z 	1.0 	0.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	31 	auto 	 T1 	 1.0 	 left 	9 	X 	Z 	0.0 	-1.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	32 	auto 	 T1T2 	 1.0 	 right 	9 	V 	Z 	0.0 	-8.0 	9 	P 	Z 	0.0 	16.0 	0
main	33 	auto 	 T1T2 	 1.0 	 left 	13 	V 	Z 	0.0 	5.0 	13 	F 	Z 	0.0 	3.0 	0
main	34 	auto 	 T1T2 	 1.0 	 right 	9 	W 	Z 	0.0 	11.0 	9 	L 	Z 	0.0 	5.0 	0
main	35 	auto 	 T1 	 1.0 	 right 	13 	I 	Z 	0.0 	5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	36 	auto 	 T1T2 	 1.0 	 right 	15 	E 	Z 	0.0 	7.0 	15 	C 	Z 	0.0 	10.0 	0
